"Num PCs","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Accuracy"
"2",0.99290780141844,0.567685589519651,0.933955970647098,0.928571428571429,0.860280658938377,0.854179377669311,0.914582062233069,0.933496034167175
"5",0.99290780141844,0.602620087336245,0.938967136150235,0.932432432432432,0.860280658938377,0.854179377669311,0.909701037217816,0.938377059182428
"10",0.99290780141844,0.615720524017467,0.940860215053763,0.933774834437086,0.860280658938377,0.854179377669311,0.907870652837096,0.940207443563148
"20",0.990780141843972,0.759825327510917,0.962121212121212,0.93048128342246,0.860280658938377,0.852348993288591,0.885906040268456,0.958511287370348
"30",0.993617021276596,0.720524017467249,0.956313993174062,0.948275862068966,0.860280658938377,0.854789505796217,0.893837705918243,0.955460646735815
"40",0.994326241134752,0.746724890829694,0.96027397260274,0.955307262569832,0.860280658938377,0.855399633923124,0.89078706528371,0.959731543624161
"50",0.995035460992908,0.733624454148472,0.958333333333333,0.96,0.860280658938377,0.856009762050031,0.893227577791336,0.958511287370348
"60",0.995035460992908,0.733624454148472,0.958333333333333,0.96,0.860280658938377,0.856009762050031,0.893227577791336,0.958511287370348
"70",0.995744680851064,0.729257641921397,0.957708049113233,0.965317919075145,0.860280658938377,0.856619890176937,0.894447834045149,0.958511287370348
"80",0.995035460992908,0.720524017467249,0.956373551465576,0.959302325581396,0.860280658938377,0.856009762050031,0.895057962172056,0.956680902989628
"90",0.997872340425532,0.720524017467249,0.956492182188987,0.982142857142858,0.860280658938377,0.858450274557657,0.897498474679683,0.959121415497254
"100",0.99290780141844,0.746724890829694,0.960219478737997,0.94475138121547,0.860280658938377,0.854179377669311,0.889566809029896,0.958511287370348
"150",0.995744680851064,0.759825327510917,0.962302947224126,0.966666666666667,0.860280658938377,0.856619890176937,0.890176937156803,0.962782184258694
"200",0.997163120567376,0.799126637554585,0.96831955922865,0.978609625668449,0.860280658938377,0.85784014643075,0.885906040268456,0.969493593654667
"250",0.995744680851064,0.812227074235808,0.970283344851417,0.96875,0.860280658938377,0.856619890176937,0.882855399633923,0.970103721781574
"300",0.997163120567376,0.799126637554585,0.96831955922865,0.978609625668449,0.860280658938377,0.85784014643075,0.885906040268456,0.969493593654667
"350",0.997163120567376,0.786026200873362,0.966323024054983,0.978260869565217,0.860280658938377,0.85784014643075,0.887736424649176,0.967663209273948
